237,Cl,Br,Br,Cs,acetone
238,Cl,Br,Br,Cs,methacrolein
239,Cl,Br,Br,Cs,THTO
240,Cl,Br,Br,Cs,nitromethane
241,Cl,Br,Cl,MA,dmso
242,Cl,Br,Cl,MA,DMF
243,Cl,Br,Cl,MA,nmp
244,Cl,Br,Cl,MA,gbl
245,Cl,Br,Cl,MA,acetone
246,Cl,Br,Cl,MA,methacrolein
247,Cl,Br,Cl,MA,THTO
248,Cl,Br,Cl,MA,nitromethane
249,Cl,Br,Cl,FA,dmso
250,Cl,Br,Cl,FA,DMF
251,Cl,Br,Cl,FA,nmp
252,Cl,Br,Cl,FA,gbl
253,Cl,Br,Cl,FA,acetone
254,Cl,Br,Cl,FA,methacrolein
255,Cl,Br,Cl,FA,THTO
256,Cl,Br,Cl,FA,nitromethane
257,Cl,Br,Cl,Cs,dmso
258,Cl,Br,Cl,Cs,DMF
259,Cl,Br,Cl,Cs,nmp
260,Cl,Br,Cl,Cs,gbl
261,Cl,Br,Cl,Cs,acetone
262,Cl,Br,Cl,Cs,methacrolein
263,Cl,Br,Cl,Cs,THTO
264,Cl,Br,Cl,Cs,nitromethane
265,Cl,Br,I,MA,dmso
266,Cl,Br,I,MA,DMF
267,Cl,Br,I,MA,nmp
268,Cl,Br,I,MA,gbl
269,Cl,Br,I,MA,acetone
270,Cl,Br,I,MA,methacrolein
271,Cl,Br,I,MA,THTO
272,Cl,Br,I,MA,nitromethane
273,Cl,Br,I,FA,dmso
274,Cl,Br,I,FA,DMF
275,Cl,Br,I,FA,nmp
276,Cl,Br,I,FA,gbl
277,Cl,Br,I,FA,acetone
278,Cl,Br,I,FA,methacrolein
279,Cl,Br,I,FA,THTO
280,Cl,Br,I,FA,nitromethane
281,Cl,Br,I,Cs,dmso
282,Cl,Br,I,Cs,DMF
283,Cl,Br,I,Cs,nmp
284,Cl,Br,I,Cs,gbl
285,Cl,Br,I,Cs,acetone
286,Cl,Br,I,Cs,methacrolein
287,Cl,Br,I,Cs,THTO
288,Cl,Br,I,Cs,nitromethane
289,Cl,Cl,Br,MA,dmso
290,Cl,Cl,Br,MA,DMF
291,Cl,Cl,Br,MA,nmp
292,Cl,Cl,Br,MA,gbl
293,Cl,Cl,Br,MA,acetone
294,Cl,Cl,Br,MA,methacrolein
295,Cl,Cl,Br,MA,THTO
296,Cl,Cl,Br,MA,nitromethane
297,Cl,Cl,Br,FA,dmso
298,Cl,Cl,Br,FA,DMF
299,Cl,Cl,Br,FA,nmp
300,Cl,Cl,Br,FA,gbl
301,Cl,Cl,Br,FA,acetone
302,Cl,Cl,Br,FA,methacrolein
303,Cl,Cl,Br,FA,THTO
304,Cl,Cl,Br,FA,nitromethane
305,Cl,Cl,Br,Cs,dmso
306,Cl,Cl,Br,Cs,DMF
307,Cl,Cl,Br,Cs,nmp
308,Cl,Cl,Br,Cs,gbl
309,Cl,Cl,Br,Cs,acetone
310,Cl,Cl,Br,Cs,methacrolein
