"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient", "Heat_Flux"
31024, 8.828360320500001e-01, 1.548809659700000e-02, 1.147951662422101e+05, 8.060874564215373e-03, 2.009001780628483e-03, -2.896254831809479e-02
31025, 8.919122087700000e-01, -1.436413140700000e-02, 1.149827076972628e+05, 4.880763608578795e-02, 2.230836144240551e-03, -4.699374676665373e-02
31274, 8.732520369400000e-01, 1.666204293700000e-02, 1.147473741556807e+05, -2.322817680713522e-03, 2.055434836455857e-03, -3.070737181525563e-02
31275, 8.828360320500001e-01, -1.548809659800000e-02, 1.149478624879924e+05, 4.123688629123187e-02, 2.268571675911500e-03, -5.029777206523744e-02
31525, 8.631457375000000e-01, 1.788578165200000e-02, 1.146989271112046e+05, -1.284881134509115e-02, 2.101396026644769e-03, -3.246845987079779e-02
31526, 8.732520369400000e-01, -1.666204293800000e-02, 1.149129468111618e+05, 3.365082614905272e-02, 2.305764626971736e-03, -5.373153210561002e-02
31777, 8.525041347000000e-01, 1.915878563800000e-02, 1.146498365532586e+05, -2.351461991005760e-02, 2.146949800555953e-03, -3.425010816291042e-02
31778, 8.631457375000000e-01, -1.788578165300000e-02, 1.148779613870627e+05, 2.604961215561270e-02, 2.342075234340235e-03, -5.726882984334209e-02
32030, 8.413159970200000e-01, 2.048015683500000e-02, 1.146001007540730e+05, -3.432061876472080e-02, 2.192071690198192e-03, -3.602607758580829e-02
32031, 8.525041346900000e-01, -1.915878563900000e-02, 1.148429357954301e+05, 1.843967104150468e-02, 2.377997922010065e-03, -6.091668007589138e-02
32284, 8.295721517600000e-01, 2.184859408900000e-02, 1.145497111488124e+05, -4.526866877394829e-02, 2.236960751245815e-03, -3.780103821561314e-02
32285, 8.413159970100000e-01, -2.048015683600000e-02, 1.148078697954270e+05, 1.082095048054184e-02, 2.413168082736338e-03, -6.466340525398015e-02
32539, 8.172657826300000e-01, 2.326236201300000e-02, 1.144986529724304e+05, -5.636197791020987e-02, 2.281503373962877e-03, -3.956666907587496e-02
32540, 8.295721517500000e-01, -2.184859409000000e-02, 1.147727864138528e+05, 3.198453459972173e-03, 2.447971091536721e-03, -6.848950538917013e-02
32795, 8.043927284900000e-01, 2.471926132400000e-02, 1.144468989832624e+05, -6.760646491617470e-02, 2.325997963637241e-03, -4.130439876506643e-02
32796, 8.172657826200000e-01, -2.326236201400000e-02, 1.147376894813520e+05, -4.426987743666997e-03, 2.482409891925243e-03, -7.240252441687740e-02
33052, 7.909517772300000e-01, 2.621660130700000e-02, 1.143944122395830e+05, -7.901015604752677e-02, 2.370478297188472e-03, -4.302236374199712e-02
33053, 8.043927284800000e-01, -2.471926132500000e-02, 1.147025709274265e+05, -1.205712659154045e-02, 2.516539943952197e-03, -7.636338772171680e-02
33310, 7.769449477100000e-01, 2.775117492200000e-02, 1.143411479389922e+05, -9.058278543327590e-02, 2.415067382747073e-03, -4.470005861743452e-02
33311, 7.909517772200000e-01, -2.621660130800000e-02, 1.146674275420513e+05, -1.969266051946405e-02, 2.550559017032344e-03, -8.038899985742121e-02
33569, 7.623777524799999e-01, 2.931923744800000e-02, 1.142870476331605e+05, -1.023370520264972e-01, 2.459919126899968e-03, -4.634570538994624e-02
33570, 7.769449477000000e-01, -2.775117492300000e-02, 1.146322390506171e+05, -2.733799455172352e-02, 2.584452766890647e-03, -8.444950671756908e-02
33827, 7.472594328800000e-01, 3.091648930500000e-02, 1.142320646178020e+05, -1.142831031751432e-01, 2.505198406232212e-03, -4.795025838242575e-02
33828, 7.623777524699999e-01, -2.931923744900000e-02, 1.145969961240306e+05, -3.499515560198773e-02, 2.618427641167985e-03, -8.854656845190194e-02
34085, 7.316031585400000e-01, 3.253806414300000e-02, 1.141760787188640e+05, -1.264470488582672e-01, 2.551067241429780e-03, -4.952124089503497e-02
34086, 7.472594328700000e-01, -3.091648930600000e-02, 1.145616669818401e+05, -4.267104854628011e-02, 2.652592346126634e-03, -9.265315196872592e-02
34343, 7.154261825600000e-01, 3.417852304500000e-02, 1.141190641766561e+05, -1.388344858329612e-01, 2.597710328682041e-03, -5.106329837133695e-02
34344, 7.316031585200000e-01, -3.253806414400000e-02, 1.145262471526034e+05, -5.036664488595498e-02, 2.687052037085417e-03, -9.677580286533356e-02
34601, 6.987499446500000e-01, 3.583185629600000e-02, 1.140610218642462e+05, -1.514452244094781e-01, 2.645302836273904e-03, -5.258147527056326e-02
34602, 7.154261825500000e-01, -3.417852304600000e-02, 1.144907460071826e+05, -5.807990863235067e-02, 2.721933661031374e-03, -1.008957900119644e-01
34859, 6.816001145700000e-01, 3.749149362100000e-02, 1.140020627600743e+05, -1.642551525213232e-01, 2.693874243099377e-03, -5.408763066269006e-02
34860, 6.987499446400000e-01, -3.583185629700000e-02, 1.144552173885740e+05, -6.579914142400971e-02, 2.757317944551958e-03, -1.050097756788216e-01
35117, 6.640065698399999e-01, 3.915032464600000e-02, 1.139418775619352e+05, -1.773314716477458e-01, 2.743555951600308e-03, -5.560672039334862e-02
35118, 6.816001145600000e-01, -3.749149362200000e-02, 1.144195361982583e+05, -7.355152316910128e-02, 2.793360067928599e-03, -1.091195881116857e-01
35375, 6.460033026000001e-01, 4.080073056700000e-02, 1.138804288108215e+05, -1.906823204333019e-01, 2.794635715362554e-03, -5.716509917123298e-02
35376, 6.640065698299999e-01, -3.915032464700000e-02, 1.143837046799266e+05, -8.133656638531807e-02, 2.830269996463633e-03, -1.132231234184032e-01
35633, 6.276282526000000e-01, 4.243462858800000e-02, 1.138176450892099e+05, -2.043232156221860e-01, 2.847330255350214e-03, -5.879255271834929e-02
35634, 6.460033025900001e-01, -4.080073056800000e-02, 1.143477215228358e+05, -8.915455585522147e-02, 2.868239169390210e-03, -1.173236280721697e-01
35891, 6.089230652199999e-01, 4.404353001700000e-02, 1.137533719022948e+05, -2.182877239956822e-01, 2.901915561377104e-03, -6.052275898588708e-02
35892, 6.276282525900000e-01, -4.243462858900000e-02, 1.143116197733910e+05, -9.699831165165400e-02, 2.907316542389446e-03, -1.214140097897122e-01
