"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Skin_Friction_Coefficient", "Heat_Flux"
30527, 9.004962734900001e-01, 1.329003047500000e-02, 3.874848683163146e+06, 8.131473729870337e-01, 2.381707536161935e-02, 1.811219306601611e-02
30528, 9.086049032300000e-01, -1.226540359200000e-02, 3.874828380534703e+06, 6.642087996609431e-01, 2.376006987266547e-02, 1.621305465399568e-02
30775, 8.919122087700000e-01, 1.436413140600000e-02, 3.874849307304742e+06, 8.177260293462932e-01, 2.390755754423185e-02, 2.038834677344063e-02
30776, 9.004962734800001e-01, -1.329003047600000e-02, 3.874848583882033e+06, 8.124190541198923e-01, 2.385392382093238e-02, 1.789565146642385e-02
31024, 8.828360320500001e-01, 1.548809659700000e-02, 3.874869569643531e+06, 9.663690407621401e-01, 2.398514833983667e-02, 1.993087421283610e-02
31025, 8.919122087700000e-01, -1.436413140700000e-02, 3.874849803142734e+06, 8.213634600077545e-01, 2.394568649645169e-02, 2.105938816491904e-02
31274, 8.732520369400000e-01, 1.666204293700000e-02, 3.874871991596651e+06, 9.841363088479590e-01, 2.406589512669603e-02, 2.427367148263449e-02
31275, 8.828360320500001e-01, -1.548809659800000e-02, 3.874869133037104e+06, 9.631661284685902e-01, 2.402085137883067e-02, 1.886787934106562e-02
31525, 8.631457375000000e-01, 1.788578165200000e-02, 3.874888487245482e+06, 1.105147162686423e+00, 2.412983084038489e-02, 2.114058651024570e-02
31526, 8.732520369400000e-01, -1.666204293800000e-02, 3.874873048240268e+06, 9.918877678928619e-01, 2.410486805405208e-02, 2.695246051142394e-02
31777, 8.525041347000000e-01, 1.915878563800000e-02, 3.874893062038486e+06, 1.138707504152190e+00, 2.419433109420178e-02, 2.529569843746007e-02
31778, 8.631457375000000e-01, -1.788578165300000e-02, 3.874887512894422e+06, 1.097999395725197e+00, 2.416337259403204e-02, 1.807705802571110e-02
32030, 8.413159970200000e-01, 2.048015683500000e-02, 3.874905197408911e+06, 1.227731679667659e+00, 2.425056583098777e-02, 2.403520363197796e-02
32031, 8.525041346900000e-01, -1.915878563900000e-02, 3.874895241575290e+06, 1.154696424162818e+00, 2.423460304642757e-02, 3.170085620987687e-02
32284, 8.295721517600000e-01, 2.184859408900000e-02, 3.874909344442571e+06, 1.258154010379559e+00, 2.429486945352427e-02, 2.239390523222495e-02
32285, 8.413159970100000e-01, -2.048015683600000e-02, 3.874903203081333e+06, 1.213101440772838e+00, 2.428032997376830e-02, 1.772565558679374e-02
32539, 8.172657826300000e-01, 2.326236201300000e-02, 3.874918245708157e+06, 1.323453033156819e+00, 2.434228079992598e-02, 2.720669063799828e-02
32540, 8.295721517500000e-01, -2.184859409000000e-02, 3.874912916961810e+06, 1.284361746000260e+00, 2.433577245900375e-02, 3.232478483299998e-02
32795, 8.043927284900000e-01, 2.471926132400000e-02, 3.874919955655443e+06, 1.335997079364851e+00, 2.437358088682847e-02, 1.926404784802075e-02
32796, 8.172657826200000e-01, -2.326236201400000e-02, 3.874915545693808e+06, 1.303645928562567e+00, 2.437367144622983e-02, 1.812169665817678e-02
33052, 7.909517772300000e-01, 2.621660130700000e-02, 3.874925923132170e+06, 1.379774045112123e+00, 2.440671292618996e-02, 2.650279760974071e-02
33053, 8.043927284800000e-01, -2.471926132500000e-02, 3.874923822549529e+06, 1.364364326983531e+00, 2.441100285828153e-02, 2.910766188424208e-02
33310, 7.769449477100000e-01, 2.775117492200000e-02, 3.874925184385217e+06, 1.374354652375477e+00, 2.442873661847161e-02, 1.763465775841521e-02
33311, 7.909517772200000e-01, -2.621660130800000e-02, 3.874923534181838e+06, 1.362248883034544e+00, 2.443952250568161e-02, 1.827660032492109e-02
33569, 7.623777524799999e-01, 2.931923744800000e-02, 3.874928526215216e+06, 1.398870068875701e+00, 2.444762532587235e-02, 2.224453175435305e-02
33570, 7.769449477000000e-01, -2.775117492300000e-02, 3.874928524601397e+06, 1.398858230015747e+00, 2.446268976454101e-02, 2.459191804968311e-02
33827, 7.472594328800000e-01, 3.091648930500000e-02, 3.874926052178121e+06, 1.380720716622439e+00, 2.446040958721324e-02, 1.564685798181244e-02
33828, 7.623777524699999e-01, -2.931923744900000e-02, 3.874926593527547e+06, 1.384692015773324e+00, 2.447966787321671e-02, 1.653341641902368e-02
